,YEAR,PREVAILING_WAGE
1544121,2014,0
2313923,2012,0
1027541,2015,0
2589770,2012,0
540035,2016,0
2859969,2011,0
400971,2016,0
526195,2016,0
1911395,2013,0
358142,2016,0
1398655,2014,0
1820209,2013,0
831726,2015,0
2988275,2011,0
1302660,2014,0
339911,2016,0
629714,2016,0
2166372,2013,0
127258,2016,0
2066730,2013,0
1681250,2014,0
1706573,2014,0
1895253,2013,0
2459137,2012,0
1668459,2014,0
1236377,2015,0
2052024,2013,0
626511,2016,0
162355,2016,0
70573,2016,0
2079978,2013,0
1108154,2015,0
1021457,2015,0
2538417,2012,0
319339,2016,0
1373632,2014,0
2104366,2013,0
2190688,2013,0
444831,2016,0
277605,2016,0
229245,2016,0
1052825,2015,0
40443,2016,0
2053912,2013,0
2416509,2012,0
153456,2016,0
1163286,2015,0
988251,2015,0
247188,2016,0
786739,2015,0
1009251,2015,0
1062448,2015,0
547143,2016,0
198500,2016,0
432611,2016,0
2934221,2011,0
2512047,2012,0
2887887,2011,0
642090,2016,0
228724,2016,0
1140386,2015,0
1840078,2013,0
1435525,2014,0
1691234,2014,0
254240,2016,0
2846889,2011,0
2752244,2011,0
2303035,2012,0
1831624,2013,0
2814042,2011,0
114892,2016,0
1871166,2013,0
698077,2015,0
445950,2016,0
1683419,2014,0
2874733,2011,0
1067953,2015,0
1605261,2014,0
286997,2016,0
434099,2016,0
2196737,2013,0
821765,2015,0
1061247,2015,0
1891933,2013,0
2809465,2011,0
1715612,2014,0
882916,2015,0
1151642,2015,0
1188337,2015,0
1821152,2013,0
477220,2016,0
1191887,2015,0
565940,2016,0
90310,2016,0
770032,2015,0
2427549,2012,0
1959076,2013,0
403284,2016,0
2333043,2012,0
1097421,2015,0
2172351,2013,0
2131394,2013,0
1739930,2014,0
1364091,2014,0
2389501,2012,0
2053702,2013,0
2383886,2012,0
2007819,2013,0
2237224,2012,0
142444,2016,0
966873,2015,0
330486,2016,0
1933717,2013,0
2362512,2012,0
2941106,2011,0
1995367,2013,0
1582440,2014,0
2239723,2012,0
2935932,2011,0
1269725,2014,0
346668,2016,0
6953,2016,0
2040244,2013,0
1876451,2013,0
2740431,2011,0
2804406,2011,0
1341694,2014,0
2425120,2012,0
2759260,2011,0
2119134,2013,0
1330111,2014,0
2534611,2012,0
1977875,2013,0
211345,2016,0
1954686,2013,0
352887,2016,0
1251174,2015,0
1201597,2015,0
2052676,2013,0
1248261,2015,0
679908,2015,0
1728372,2014,0
2903004,2011,0
2517216,2012,0
1758363,2014,0
2259421,2012,0
286490,2016,0
1454513,2014,0
2037389,2013,0
1638126,2014,0
771964,2015,0
1665370,2014,0
2916999,2011,0
430370,2016,0
2557116,2012,0
2904384,2011,0
574195,2016,0
1953303,2013,0
2287547,2012,0
850815,2015,0
389120,2016,0
2173075,2013,0
2201985,2013,0
116236,2016,0
2002800,2013,0
1516802,2014,0
2336703,2012,0
984842,2015,0
2000256,2013,0
1551144,2014,0
2049744,2013,0
2322057,2012,0
214192,2016,0
2103941,2013,0
1355639,2014,0
439608,2016,0
1258866,2015,0
2498234,2012,0
1248329,2015,0
2932994,2011,0
71784,2016,0
1514009,2014,0
227105,2016,0
1801523,2013,0
711832,2015,0
771434,2015,0
2144783,2013,0
926180,2015,0
936314,2015,0
2675936,2011,0
1932677,2013,0
768393,2015,0
1183252,2015,0
2664921,2011,0
657838,2015,0
1915108,2013,0
1802939,2013,0
2557942,2012,0
1218593,2015,0
512978,2016,0
2246717,2012,0
1219799,2015,0
2293625,2012,0
2006314,2013,0
2185990,2013,0
743631,2015,0
1738602,2014,0
1997486,2013,0
2723503,2011,0
2296153,2012,0
1305044,2014,0
1467302,2014,0
2579651,2012,0
2794525,2011,0
2200804,2013,0
2784951,2011,0
52358,2016,0
2161695,2013,0
156807,2016,0
1721117,2014,0
812935,2015,0
1848729,2013,0
2261714,2012,0
390048,2016,0
1644269,2014,0
2309314,2012,0
721580,2015,0
168431,2016,0
2692795,2011,0
1841398,2013,0
1366634,2014,0
1847485,2013,0
2895882,2011,0
2039855,2013,0
1815126,2013,0
1422864,2014,0
918672,2015,0
2517285,2012,0
1840551,2013,0
47756,2016,0
101955,2016,0
1770080,2014,0
1065792,2015,0
2105410,2013,0
591947,2016,0
1148315,2015,0
13194,2016,0
2249774,2012,0
1607397,2014,0
1324083,2014,0
465931,2016,0
1663643,2014,0
1255536,2015,0
2435478,2012,0
13725,2016,0
1013342,2015,0
475002,2016,0
2755291,2011,0
2243393,2012,0
953007,2015,0
2005283,2013,0
704092,2015,0
1082265,2015,0
2021495,2013,0
1274141,2014,0
63297,2016,0
110009,2016,0
759756,2015,0
2483516,2012,0
2473000,2012,0
1618212,2014,0
812109,2015,0
1443024,2014,0
2094150,2013,0
2173912,2013,0
1052250,2015,0
1081258,2015,0
699097,2015,0
639120,2016,0
1531191,2014,0
600520,2016,0
1190517,2015,0
2613417,2012,0
303208,2016,0
1492636,2014,0
68065,2016,0
2110939,2013,0
886669,2015,0
298053,2016,0
97673,2016,0
2832645,2011,0
1588557,2014,0
1832099,2013,0
2372841,2012,0
1260004,2015,0
250348,2016,0
1599973,2014,0
2454134,2012,0
332023,2016,0
25860,2016,0
1691516,2014,0
213922,2016,0
1744943,2014,0
411887,2016,0
1057059,2015,0
2174657,2013,0
577164,2016,0
69648,2016,0
2991384,2011,0
2675260,2011,0
13625,2016,0
267291,2016,0
2428133,2012,0
153739,2016,0
2489773,2012,0
2838751,2011,0
1783253,2014,0
1568129,2014,0
1283788,2014,0
1874531,2013,0
763490,2015,0
570189,2016,0
1411129,2014,0
1644179,2014,0
1980014,2013,0
1358906,2014,0
1351144,2014,0
2684298,2011,0
2807658,2011,0
538453,2016,0
938696,2015,0
1777719,2014,0
1423013,2014,0
2343719,2012,0
1404386,2014,0
2738881,2011,0
283810,2016,0
90739,2016,0
1097205,2015,0
2778798,2011,0
214481,2016,0
2626299,2012,0
2514780,2012,0
1873189,2013,0
814910,2015,0
2425836,2012,0
1880801,2013,0
1076217,2015,0
58925,2016,0
2662871,2011,0
2594967,2012,0
1954531,2013,0
2545762,2012,0
1939179,2013,0
2612765,2012,0
1274747,2014,0
2740833,2011,0
2387217,2012,0
118922,2016,0
2170528,2013,0
81676,2016,0
510347,2016,0
1919118,2013,0
2493568,2012,0
524910,2016,0
570694,2016,0
425763,2016,0
1491506,2014,0
1484524,2014,0
843918,2015,0
1437400,2014,0
1596492,2014,0
692874,2015,0
737851,2015,0
2998029,2011,0
585785,2016,0
509346,2016,0
1202372,2015,0
2110080,2013,0
2810632,2011,0
954289,2015,0
920884,2015,0
1467258,2014,0
54168,2016,0
717217,2015,0
1576036,2014,0
1243830,2015,0
2869050,2011,0
485664,2016,0
2256902,2012,0
907576,2015,0
2001793,2013,0
1970588,2013,0
228787,2016,0
133645,2016,0
509010,2016,0
1768147,2014,0
297158,2016,0
1543409,2014,0
503710,2016,0
2614000,2012,0
2966709,2011,0
336710,2016,0
1424504,2014,0
2961814,2011,0
879349,2015,0
1962171,2013,0
2461990,2012,0
672922,2015,0
752618,2015,0
2078686,2013,0
287225,2016,0
2203950,2013,0
582557,2016,0
316631,2016,0
484160,2016,0
634072,2016,0
2554038,2012,0
2633072,2012,0
